feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
S100a9	0	6.386696190523004	3.0894408622950618	199491801.5	0.6557176325707643	0	0	98.83140596469873	50.74256088999298
Il1b	0	3.7350115344624566	3.024436247892097	268015307	0.8809503011018054	0	0	89.70176506390749	23.419020359669492
S100a8	0	6.092481424547772	2.835601071696561	197947063	0.6506401694141598	0	0	98.61229458307973	52.95134201004482
Retnlg	0	4.100371580641911	2.7817190594097	247087828	0.812162927974823	0	0	90.18867924528303	35.2297888426851
Csf3r	0	2.954706207316244	2.2741968688705874	270426709.5	0.8888764370461701	0	0	91.41813755325624	37.44667062699141
Tmsb10	0	0.45129994046166494	-2.2528383006160073	46549624.5	0.15300583454903557	0	0	19.95130858186245	80.77442350272722
Ifitm1	0	2.7324776863073765	2.1245544976576123	241639623	0.7942550036516263	0	0	74.82653682288498	22.114813414700006
Rps20	0	0.47527035864955175	-2.0529282064440313	43748408.5	0.1437984049202077	0	0	22.203286670724285	82.43505967489334
Rpsa	0	0.4428525143887128	-2.0385440707311298	44742291	0.14706523731659327	0	0	21.22945830797322	81.09574985148782
Srgn	0	3.977792264073959	2.006541047557481	269733163.5	0.8865967927811955	0	0	97.57760194765672	75.70340767942972
S100a9	1	0.17372880761090898	-4.0334891785051665	31056850	0.19187473512608066	0	0	6.537282941777324	64.48842329373625
S100a8	1	0.17475293829351748	-3.9377167441344287	29426703.5	0.18180340052826385	0	0	6.256384065372829	66.45053589141848
Gngt2	1	2.8073750874981074	2.3238477505056325	151877904	0.9383286650611478	0	0	96.32277834525026	24.907458931120413
Lcn2	1	0.05022445833810307	-2.189450909572859	39086373	0.2414825542968521	0	0	2.5791624106230846	53.206880700650814
Cst3	1	3.830354904362333	2.1187242918668447	152442004	0.9418137750476603	0	0	99.69356486210418	72.35864805361334
Ace	1	2.0948433533800763	2.0439138642281938	149547284	0.923929680773316	0	0	86.15934627170581	3.205671013475915
Nr4a1	1	2.297478304366057	1.963544430223986	145451233.5	0.898623553308665	0	0	88.40653728294178	19.497737884982943
Retnlg	1	0.051748216728305936	-1.9398053600645462	42149761.5	0.26040871252042536	0	0	1.7364657814096014	49.32620424358261
Ngp	1	0.04564549690592754	-1.8512566465447007	52934083	0.3270361660878991	0	0	2.477017364657814	36.290615246897154
Klf4	1	2.1093993835465707	1.8093097147311723	140704858.5	0.8692996055826705	0	0	82.91624106230849	17.010621053395592
Il1b	10	3.8628204257008782	2.7057679581945484	62852433	0.8413684321788518	0	0	92.94871794871796	33.1863184251028
Retnlg	10	4.091209419603244	2.356915558802292	57232578.5	0.7661387561894074	0	0	91.4918414918415	43.38318057565525
Isg15	10	2.639077868149415	2.105104604226154	65011170	0.8702661705556062	0	0	85.4895104895105	29.747547837272876
Ifitm1	10	2.976296930201122	2.060811987071879	58189982	0.7789549518927232	0	0	78.55477855477857	29.83713504697586
Tmsb10	10	0.44621777050022443	-1.9217967227987605	15242188.5	0.20403818323499945	0	0	19.696969696969695	71.70422438150369
Csf3r	10	2.922466997541414	1.9011741630177579	61810900	0.8274260445027449	0	0	91.95804195804196	45.48273723382262
Srgn	10	4.110356502988628	1.8447761560630695	63829964.5	0.8544540695409002	0	0	98.6013986013986	78.92862885626995
