feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
S100a6	0	0.11957982602602588	-1.835793143598593	27499840.5	0.15718008029628125	0	0	6.234344558864459	72.74818252762148
Lef1	0	1.3826896052706983	0.8424939258441067	135266538	0.77313922254349	0	0	82.28499860840523	39.770813652606066
Jun	0	2.4958523616822563	0.9029321361769513	122247744.5	0.6987280634063777	0	0	92.62454773170052	67.16227872017086
Nkg7	0	1.5186596770140093	-1.4950065540953426	21748896.5	0.12430956820369596	0	0	82.03451155023657	96.31576785640942
Ccl5	0	0.41990715605426726	-4.142971892981589	14051184.5	0.08031196791733619	0	0	14.542165321458391	89.2019550663326
Ccl4	0	0.033920434089326656	-0.9948427276555736	53966514	0.30845491645052947	0	0	2.337879209574172	40.128147204994455
Igfbp4	0	0.9392983980669093	0.8343921640659315	130488626	0.745830242631095	0	0	55.413303645978296	6.772908366533864
Ctla2a	0	0.11041313645696947	-1.1661508297258791	35409683	0.20239014903398678	0	0	8.335652657946007	64.88684437507702
Gzmk	0	0.008718924254313181	-0.8494040310554478	54730296	0.3128204441738213	0	0	0.4870581686612858	37.84860557768924
Rgcc	0	1.2078587467770923	0.8991898914875754	134601950	0.7693406552316562	0	0	71.37489563039243	22.162894812502568
Il2rb	0	0.37756722182597746	-0.8763811336051291	41269048	0.23588036004758228	0	0	30.43417756749235	70.8095453238592
Lgals1	0	0.35830855484211355	-1.1507191394589942	41648133.5	0.2380470885902135	0	0	25.81408293904815	67.73319094755
AW112010	0	1.477705063270402	-1.0337791086969061	39606306	0.22637667143266108	0	0	83.5652657946006	93.83907668295889
Itga4	1	0.08401666886372001	-0.8660845473860986	43472531.5	0.2626605558876367	0	0	7.38123872519543	52.46975603874442
Gzmm	1	1.0478777308236107	0.8779288715566899	127632821	0.7711560968876917	0	0	64.6873120865905	10.497970338812749
Ly6c2	1	2.928940064894895	1.9003240306721887	141716758.5	0.8562510919384568	0	0	99.14311485267588	40.99915598247659
Gm26917	1	2.064080707184635	0.8288730379016127	119513220	0.7220975571924405	0	0	95.3547805171377	64.0930830754391
Cox5b	11	2.212271483334114	0.8564782535086879	24241942.5	0.821813135887982	7.569826742545997e-257	5.166846857993605e-255	97.09844559585493	79.41965454069614
Rpl37a	11	3.094936412447079	-0.8866690012650227	3376214.5	0.1144552432494003	0	0	99.48186528497409	99.62378958387856
Ptma	11	3.795691871154533	1.4206373625337627	28937166.5	0.9809834152142577	0	0	100	94.65126930123004
Dbi	11	1.5035423571667101	1.02209734648222	24815364	0.8412523916778425	0	0	90.0518134715026	37.85003925673907
Mcm6	11	1.05804810581018	0.8288220901664307	23586487	0.799592889309556	0	0	75.12953367875647	19.026432870976183
Nucks1	11	1.6189121617424396	1.0619281658784936	25187773.5	0.853877247092357	0	0	94.50777202072538	42.92724417691704
Snrpe	11	2.059334620360168	0.8442721523043322	24274718	0.8229242405956718	4.531551564476824e-260	3.14626112385235e-258	96.06217616580311	75.46126668411411
Cenpf	11	0.9016047480541726	0.8981156169618091	23974886.5	0.8127598131677545	0	0	62.7979274611399	0.26498298874640147
Tubb4b	11	1.876119724553213	0.9849934407555991	23744298	0.8049427556739209	1.1151381921849902e-244	7.273179097917659e-243	93.57512953367876	58.80332373724156
Atp5g3	11	2.4507348675262577	0.9849988941019261	25453261.5	0.8628774138826474	0	0	97.82383419689118	82.96911803192882
Hnrnpa3	11	2.206953660594042	0.882844678701258	24460987	0.8292388464078388	3.5397986162436716e-269	2.5681437825938635e-267	97.40932642487047	78.09473959696415
Selenoh	11	1.3029646128583177	0.8908943709753476	24188640.5	0.8200061732747714	0	0	85.80310880829015	34.101020675215906
Nusap1	11	0.8237725690325497	0.8205931820867683	24356649	0.8257017396362887	0	0	65.38860103626943	0.2518974090552211
Dut	11	1.9162776602522287	1.6197362027293587	27367135.5	0.9277586334315543	0	0	93.16062176165804	24.231222193143157
Pcna	11	1.425205913998878	0.8854936073731913	23351204	0.7916166860803333	1.3107628026747548e-256	8.927843266741448e-255	86.01036269430051	41.69392829102329
Tpx2	11	0.9951701790012603	0.9884435191184543	25787533.5	0.8742093902933475	0	0	75.33678756476684	0.5463229521067784
Ube2c	11	1.6208605625818753	1.5984174609061153	26501956.5	0.8984286625723944	0	0	80.72538860103627	1.681496990316671
Rps21	11	2.5514908834110614	-1.0706642295035818	3069185	0.10404680027066132	0	0	97.51295336787564	98.84846898717613
Ccna2	11	1.1047753118099932	1.1016735712101162	26426183.5	0.8958599225984571	0	0	79.37823834196891	0.26825438366919657
Smc4	11	1.6126561498807064	1.0286556315140918	24364518.5	0.8259685193497077	0	0	90.98445595854923	42.017796388380006
Cks1b	11	1.3399222166875635	1.2976778208885267	27101587.5	0.9187564326133326	0	0	85.80310880829015	3.8209892698246533
Rps27	11	2.4691138097051066	-1.4075789465267445	1846834	0.0626085323403661	0	0	97.40932642487047	99.11999476576813
S100a4	11	1.6211183915364196	1.1189081389595041	21950070	0.7441175912227627	1.7748802077874305e-266	1.2705544902088068e-264	70.46632124352331	21.88236063857629
S100a6	11	2.5059107366057463	0.9994804022544939	20299907	0.688176297336915	1.3893249985381574e-95	3.290855288173471e-94	84.97409326424871	56.72598796126669
Anp32e	11	1.4051896754085702	1.0170449466449738	24910685.5	0.8444838349020208	0	0	87.15025906735751	32.2494111489139
Txnip	11	0.4166309458033782	-0.816959562743753	7403886.5	0.25099519901607287	1.4129384681728259e-157	5.863331419660628e-156	39.17098445595855	70.98599842973043
H2afz	11	3.3961914256235093	1.6522658297516462	28470172	0.9651520842684211	0	0	99.79274611398964	86.19471342580476
Anp32b	11	2.1561636543354865	1.334644812407362	27220053	0.9227724682115335	0	0	97.61658031088083	58.65283957079298
Smc2	11	1.4758929819959767	1.3789629516849398	27334289.5	0.9266451387410451	0	0	89.53367875647669	8.292986129285527
Txn1	11	2.2165392042577827	1.3860693248454128	26516365	0.8989171174298566	0	0	96.78756476683937	56.01609526302015
Jun	11	0.9133126776347991	-0.9133255410091674	8775626.5	0.29749782359011356	3.925624849743311e-104	1.026225087238565e-102	58.238341968911925	73.42973043705837
Usp1	11	1.0802686319693988	0.8388355827434849	24308180.5	0.8240586349231748	0	0	81.34715025906736	20.714472651138447
Prdx1	11	1.859167314823792	0.9152653039915207	24220901.5	0.8210998361929506	7.16320748086384e-265	5.105168951869517e-263	95.02590673575129	64.12915467155194
Cdca8	11	1.147949879217734	1.1334761931387503	26459713	0.8969965882571499	0	0	80.31088082901555	1.2562156503533106
Clspn	11	0.8400092127728429	0.8337441750369717	24913167	0.8445679589072117	0	0	69.43005181347151	0.49398063334205705
Atpif1	11	1.186496877765675	0.82229215584981	23643200.5	0.8015155033608922	0	0	83.83419689119171	28.693404867835643
Hmgn2	11	2.0300973886535485	1.6481515763025885	27450422.5	0.9305821015034178	0	0	94.4041450777202	30.07393352525517
Stmn1	11	2.4236371764065576	2.3159187359831663	28967799	0.9820218712243357	0	0	97.61658031088083	9.176262758440199
Tyms	11	1.0213768114259072	0.9816110040257546	25426761	0.861979034596103	0	0	75.12953367875647	3.5396493064642764
Cenpa	11	1.1500902944084157	1.0449108321477267	24735395	0.8385414053505783	0	0	74.30051813471502	8.299528919131118
Ywhah	11	1.507380626294857	0.9226093135137575	24247405	0.8219983171808916	3.261979921668215e-302	2.659419741693392e-300	91.60621761658031	44.60874116723371
Hnrnpd	11	1.4876699707014405	0.8097917924173295	23274451	0.7890147236501852	2.4689711835568963e-231	1.52995651940757e-229	89.94818652849742	50.75896362208846
Ran	11	2.3864748725573346	1.4228396012765707	27633941	0.9368034640851688	0	0	98.23834196891191	65.05823082962576
Hmgb1	11	2.659019318180709	1.4364798287643181	27864706	0.9446265050111669	0	0	99.27461139896373	75.34022507197069
Ezh2	11	1.1686044727692355	1.094845774388307	26207136	0.8884341103772037	0	0	82.48704663212435	5.934310389950275
Hnrnpa2b1	11	2.571515439578466	0.8312598011108854	24857594.5	0.8426840252870352	4.843418467496623e-289	3.7861928625454835e-287	99.06735751295336	88.39963360376865
Cdca3	11	1.0128777506206597	1.004186646687487	25802779	0.8747262198404508	0	0	75.5440414507772	0.7916775713164093
Gapdh	11	2.4393726635008206	0.9811052045521518	24697762	0.8372656291316193	1.6419345362204034e-281	1.2621394405208506e-279	97.09844559585493	80.6562418215127
Ncapd2	11	0.8834582581047087	0.8397106226036457	24937055	0.845377773227582	0	0	72.64248704663213	3.9583878565820463
Ube2s	11	2.366038900720308	1.1808226904705483	25805523.5	0.8748192596680737	0	0	98.23834196891191	71.7416906568961
Lig1	11	0.95374895974977	0.9059228396265124	24960866	0.8461849772121071	0	0	72.74611398963731	4.118686207799006
Calm3	11	1.5863544206069007	1.0144343573546668	24803637	0.8408548409186755	0	0	93.3678756476684	43.149699031667105
Hcst	11	0.9668593389795518	-0.9605334612936834	5629375.5	0.190838450043596	1.3885480199739482e-235	8.755717348605257e-234	71.39896373056996	90.18254383669196
Etfb	11	1.346354869464303	0.9285373231957603	23811404	0.8072176803131861	0	0	85.49222797927462	31.40866265375556
Ldha	11	2.095574142745171	0.8957873829394565	23374167	0.7923951424700963	1.3850524659984369e-214	7.900427361264935e-213	94.19689119170984	73.03716304632295
Prc1	11	0.9199029443767908	0.9045535675421632	25088051.5	0.8504966248696527	0	0	71.29533678756476	1.2136875163569747
Rrm1	11	1.1076529086073315	1.0225440786616953	25912853.5	0.8784577966324634	0	0	81.03626943005182	7.625621565035331
Arl6ip1	11	2.320954868286439	1.1389166789498666	23979057.5	0.8129012120094433	1.2900481525628575e-246	8.517219755724306e-245	97.40932642487047	70.75372939021199
Mki67	11	1.7869225883620814	1.7577167726847196	28304461	0.9595344042264389	0	0	92.95336787564766	2.1918345982727034
Hmgb2	11	3.5218814710767585	2.5918479560982406	29296394	0.9931613946922719	0	0	100	59.500130855796904
Klf2	11	1.120212176259804	-0.8187725183769896	8111232.5	0.27497455770062634	2.059877733606676e-126	6.683733932612216e-125	70.05181347150258	81.90918607694321
Junb	11	1.6420858296004224	-1.0748309901147182	6283560.5	0.21301562608057734	3.126284785064299e-203	1.7136180693684363e-201	84.04145077720207	90.78775189740905
Dnmt1	11	1.030382779173845	0.8332964794753992	23951607	0.8119706272806538	0	0	75.75129533678756	17.00143941376603
Spc24	11	0.9750675120233826	0.9675388295844833	26218520	0.888820033276697	0	0	78.3419689119171	0.6706359591729913
H2afx	11	1.5868065398657043	1.2411951656813116	25399953	0.861070230916411	0	0	86.73575129533678	29.027087149960746
Cox5a	11	1.9411712724040833	0.8609033853326353	24102051	0.8170707489155241	1.3564395065043118e-253	9.104500928792454e-252	95.75129533678756	70.12889295995812
Pkm	11	1.8337151488601542	0.9115753701574518	23287206	0.789447124087908	1.3458001991171481e-217	7.80056722235137e-216	93.78238341968913	61.84899241036378
Pclaf	11	2.2687726033600133	2.2576710872845105	29150611.5	0.9882193000774286	0	0	97.82383419689118	0.81784873069877
Rps27l	11	1.3280084321834722	0.9016425751200838	23714589	0.8039356067437518	0	0	83.62694300518135	34.02250719706883
Anxa2	11	1.5359567746520415	1.102761209553054	24134895	0.8181841758051022	0	0	86.01036269430051	27.967155194975135
Ccnb2	11	0.8195991842357775	0.8069088793809064	24231824	0.8214701140276058	0	0	65.28497409326425	0.9356189479193928
Cdk1	11	1.0308934121529563	1.025400625543233	26166405.5	0.8870533274662927	0	0	77.8238341968912	0.4350955247317457
Hsp90b1	11	1.8858387038732762	0.9570627443933387	23606305.5	0.8002647456854878	2.0323924637429467e-234	1.274093023144486e-232	94.81865284974094	61.40081130594085
Tmpo	11	1.4866731660646912	1.2000492971461956	26303126.5	0.8916882330128157	0	0	90.0518134715026	24.63360376864695
Btg1	11	0.8984753358296719	-0.8544420269209648	6509242.5	0.2206663509403311	6.204740424355071e-193	3.2732033431422135e-191	69.63730569948187	87.2971735147867
Nap1l1	11	1.6832038918005954	1.1347652202698655	25528273.5	0.8654203556023231	0	0	92.53886010362694	42.227165663438896
Ppia	11	3.9622972663186378	0.8064336765924107	27725782.5	0.9399169336893334	0	0	99.68911917098445	98.95642501962837
H2afv	11	1.946754805846457	1.2374857290503107	25675234	0.8704023849655503	0	0	95.44041450777202	53.01295472389427
Hnrnpab	11	2.0979451580186	1.186237573584977	26206753	0.888421126498909	0	0	96.58031088082902	62.823868097356716
Hint1	11	2.1184658531744547	0.9341781424871745	24870581	0.8431242736825262	4.127200685432404e-294	3.281937786433132e-292	96.99481865284974	73.96623920439676
Top2a	11	1.985643291200938	1.9169825650712085	28702843	0.9730397394817025	0	0	96.26943005181347	5.482857890604554
Rpl38	11	2.3834526154242	-0.82051768341092	4443491	0.15063641343922934	6.580247050540232e-300	5.311081900667285e-298	97.20207253886011	98.16801884323475
Sumo2	11	2.052543589366054	0.8786374543802724	24336134	0.8250062715861214	2.332698117694314e-264	1.647946580519933e-262	95.5440414507772	73.48861554566868
Tk1	11	0.9637700032682712	0.9470790836585973	25661743	0.8699450337852039	0	0	75.23316062176167	1.42959958126145
Birc5	11	1.730024723532749	1.7177388416977577	28442805	0.9642243302285027	0	0	93.3678756476684	0.8472912850039257
Actg1	11	3.471917258850529	0.8020675109847604	23801066.5	0.8068672342508607	7.000726607821076e-232	4.3465088179519885e-230	99.89637305699482	96.66317717874901
Alyref	11	1.7166085369946216	1.2649776347459445	26603756.5	0.9018797299624518	0	0	93.16062176165804	36.95694844281602
Rrm2	11	1.2408046624760578	1.2296600956496033	26520914.5	0.8990713475977452	0	0	80.41450777202073	0.9977754514524994
Rps29	11	2.7070588198035095	-0.8512256356198451	4814688.5	0.1632201814895322	7.595118348120437e-279	5.796888791230928e-277	98.23834196891191	98.10586233970164
Hist1h1b	11	1.975336438930103	1.965485771408288	27936824	0.9470713387836242	0	0	89.74093264248705	0.6869929337869668
Hist1h2ap	11	1.4507505004657226	1.4307487171373268	25844219.5	0.8761310720818818	0	0	76.16580310880829	1.9006804501439414
Hist1h1d	11	0.938361110507865	0.9222449894774473	24538577.5	0.831869200477861	0	0	67.56476683937824	1.3576288929599583
Hist1h2ae	11	2.409253467292604	2.373338014866907	28536282	0.9673932440440273	0	0	94.09326424870467	3.192881444647998
Hist1h4d	11	0.9369570853213288	0.8635075126143859	24079919	0.816320463812609	0	0	68.49740932642487	6.791415859722585
Hist1h1e	11	1.6747458048422068	1.585375581971526	27254523	0.923941017258049	0	0	88.18652849740933	7.638707144726512
Hist1h2ab	11	0.8520244656986764	0.8488494989831084	24083034.5	0.8164260807129403	0	0	63.523316062176164	0.2551688039780162
Gmnn	11	0.9170906706469987	0.8395831270136616	24798294.5	0.8406737276816285	0	0	74.19689119170985	6.9811567652447
Dek	11	1.7763715486340246	1.2355666555074345	26146524	0.8863793353610332	0	0	94.61139896373058	41.77898455901597
Cks2	11	1.4525856060071611	1.0977140890447785	25071146	0.8499235205497842	0	0	87.15025906735751	28.27139492279508
Rps24	11	3.718607920584626	-0.8841086837734702	3042463	0.103140912031004	0	0	99.27461139896373	99.93457210154409
Gm43305	11	0.9750217847115282	0.8462062944012545	23022634	0.7804780101240351	0	0	64.9740932642487	10.481549332635435
Gzmb	11	1.7852925732408058	1.2856047783453872	23048648	0.7813598968341033	0	0	76.78756476683938	23.845197592253335
Il7r	11	0.16054258159617596	-0.9933061566249471	7087560	0.24027158340938337	7.012168889308443e-179	3.353894408760342e-177	13.8860103626943	60.42920701387071
Sub1	11	2.534553023158647	1.0019282568950143	23396720.5	0.7931597166192286	4.270501746530726e-213	2.427344170541276e-211	98.44559585492227	81.18293640408271
Ly6a	11	1.8829981117413692	1.0197406498882229	21896867.5	0.7423140017058715	1.0489567879637658e-170	4.7697985773817157e-169	82.48704663212435	45.707929861292854
Lgals1	11	2.894312194082767	1.6995303542190328	25065422.5	0.8497294912353737	0	0	94.92227979274611	57.02041350431825
Tuba1b	11	2.3453248558119393	1.7270891474884833	27715511.5	0.9395687420079653	0	0	96.58031088082902	46.074326092645904
Ranbp1	11	1.7279384953180474	1.1561855298620483	25529459	0.8654605446041985	0	0	91.91709844559585	44.64799790630725
Rps28	11	2.4105303708096693	-0.9465427387549625	4718748.5	0.159967770827429	3.2155001450116855e-284	2.4954909178293816e-282	95.75129533678756	97.38942685160953
Ltb	11	0.5044485627288343	-1.0204644839773622	6373395	0.2160610574504409	2.6927695676342604e-201	1.4709994160925905e-199	40.72538860103627	77.97696937974352
Tubb5	11	2.8952280831441	1.6283430343064818	28085256	0.9521032526818658	0	0	99.68911917098445	74.04475268254383
Snrpd1	11	1.3668997729832093	0.9682014804236534	24750682	0.8390596417670008	0	0	86.52849740932642	33.48272703480764
Lmnb1	11	1.5819495980513327	1.4175254730460067	27317813	0.9260865777208853	0	0	91.39896373056995	13.658073802669456
Banf1	11	1.705755813249749	1.0115568453020893	25021178	0.8482295820886212	0	0	92.95336787564766	52.074064381052075
Malat1	11	2.734093106681141	-0.8118049096078823	6161212	0.2088679549747577	6.48657032324363e-209	3.6294440708131816e-207	98.96373056994818	99.4013347291285
Incenp	11	0.9208349380204526	0.862856680013925	24918842	0.8447603440490444	0	0	73.47150259067358	4.965977492802931
Kif11	11	0.9381950584715283	0.9318720110292892	25481040.5	0.8638191349143607	0	0	73.26424870466322	0.47435226380528656
Rbm3	11	2.5956659936838045	0.861636137338138	23896822.5	0.8101134072273081	2.756606198425403e-237	1.7519100613418138e-235	98.23834196891191	86.5643810520806
CAAA01147332.1	11	1.2208954397208807	0.892535393951896	23992230.5	0.813347782841754	0	0	82.69430051813471	26.91703742475792
S100a4	13	1.3332142323407818	0.8176088431057983	16249245.5	0.6577013359768893	1.8737534576487258e-94	2.5205887658412127e-91	51.99004975124378	22.62032607634482
S100a6	13	2.579585898623488	1.0698465885652255	17180516.5	0.6953952818808105	1.6773519605574802e-86	1.6922908764561955e-83	82.08955223880598	56.9494614208077
Gzmb	13	1.423536702095273	0.907648116750617	16794076	0.6797537905189144	9.143325973308256e-115	3.2799142116473008e-111	56.71641791044776	24.647726902925577
Lgals1	13	2.4508220776928233	1.2355322342947477	18458707.5	0.7471310949887874	9.57152022163864e-137	6.18033060711207e-133	83.95522388059702	57.505939015262456
