feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Ccl5	0	0.41990715605426726	-4.142971892981589	14051184.5	0.08031196791733619	0	0	14.542165321458391	89.2019550663326
S100a6	0	0.11957982602602588	-1.835793143598593	27499840.5	0.15718008029628125	0	0	6.234344558864459	72.74818252762148
Nkg7	0	1.5186596770140093	-1.4950065540953426	21748896.5	0.12430956820369596	0	0	82.03451155023657	96.31576785640942
Ctla2a	0	0.11041313645696947	-1.1661508297258791	35409683	0.20239014903398678	0	0	8.335652657946007	64.88684437507702
Lgals1	0	0.35830855484211355	-1.1507191394589942	41648133.5	0.2380470885902135	0	0	25.81408293904815	67.73319094755
Ly6c2	1	2.928940064894895	1.9003240306721887	141716758.5	0.8562510919384568	0	0	99.14311485267588	40.99915598247659
Gzmm	1	1.0478777308236107	0.8779288715566899	127632821	0.7711560968876917	0	0	64.6873120865905	10.497970338812749
Itga4	1	0.08401666886372001	-0.8660845473860986	43472531.5	0.2626605558876367	0	0	7.38123872519543	52.46975603874442
Gm26917	1	2.064080707184635	0.8288730379016127	119513220	0.7220975571924405	0	0	95.3547805171377	64.0930830754391
Hmgb2	11	3.5218814710767585	2.5918479560982406	29296394	0.9931613946922719	0	0	100	59.500130855796904
Hist1h2ae	11	2.409253467292604	2.373338014866907	28536282	0.9673932440440273	0	0	94.09326424870467	3.192881444647998
Stmn1	11	2.4236371764065576	2.3159187359831663	28967799	0.9820218712243357	0	0	97.61658031088083	9.176262758440199
Pclaf	11	2.2687726033600133	2.2576710872845105	29150611.5	0.9882193000774286	0	0	97.82383419689118	0.81784873069877
Hist1h1b	11	1.975336438930103	1.965485771408288	27936824	0.9470713387836242	0	0	89.74093264248705	0.6869929337869668
Lgals1	13	2.4508220776928233	1.2355322342947477	18458707.5	0.7471310949887874	9.57152022163864e-137	6.18033060711207e-133	83.95522388059702	57.505939015262456
Gzmb	13	1.423536702095273	0.907648116750617	16794076	0.6797537905189144	9.143325973308256e-115	3.2799142116473008e-111	56.71641791044776	24.647726902925577
S100a4	13	1.3332142323407818	0.8176088431057983	16249245.5	0.6577013359768893	1.8737534576487258e-94	2.5205887658412127e-91	51.99004975124378	22.62032607634482
S100a6	13	2.579585898623488	1.0698465885652255	17180516.5	0.6953952818808105	1.6773519605574802e-86	1.6922908764561955e-83	82.08955223880598	56.9494614208077
Ccl4	16	3.2358075841015714	2.4860275870134716	17567034.5	0.8583181502149089	0	0	89.29110105580695	30.275348234531908
Lag3	16	2.763466714206509	2.3735901266164006	19086779	0.9325722474582019	0	0	96.22926093514329	17.92031098153547
Ccl3	16	2.710058567387552	2.3662182824789584	17853694.5	0.872324241051732	0	0	84.16289592760181	14.765144152899254
Prf1	16	2.0562517175546238	1.618937571028248	17899304	0.8745527026439391	0	0	87.93363499245852	30.657596371882086
Tigit	16	2.0287602749889238	1.6103447795736845	17878729	0.8735474165246074	0	0	89.59276018099548	22.67573696145125
Ccl5	2	6.346631487908204	3.0779139685092294	92340665	0.9213985356035349	0	0	99.58170663692137	68.67284502808889
Ccl4	2	2.359225613109865	1.7569833012425087	79507935	0.7933503064750621	0	0	77.66313441160067	25.594876015314703
Gzmk	2	2.1463555578064137	1.6719381694525852	84977915.5	0.8479311568780767	0	0	85.83379810373675	22.08466024975847
AW112010	2	3.707092281599738	1.6148369125893791	90010009	0.8981426599241082	0	0	99.05186837702176	90.52850037571116
Lag3	2	1.834463569654095	1.5736383530066562	82011504	0.8183315518492686	0	0	73.39654210819855	12.659677246216052
Ccl5	3	5.883246943643156	2.443756223258647	55286383.5	0.8180170156893765	0	0	99.69736273238219	70.01026694045174
S100a6	3	3.2367950656838795	1.8343289693681093	56009353	0.8287140682977179	0	0	92.60700389105058	54.818617385352496
S100a4	3	2.082882106585115	1.6688425468290429	54319313	0.8037082460739569	0	0	74.01642888024212	19.360027378507873
Lgals1	3	2.498836496536669	1.351153617284267	53236017.5	0.7876798120198515	0	0	88.49978383052313	55.780287474332646
Gzmk	3	1.8718732054149185	1.3028885696006292	53133755.5	0.7861667440497169	0	0	81.97146562905317	25.16769336071184
Ccl5	4	0.7811713356472952	-3.050809550387528	11994829.5	0.18556037151338786	0	0	22.595281306715066	75.91462375123598
S100a6	4	0.2364728772015843	-1.3982770324414766	15437402.5	0.23881707890067988	0	0	10.843920145190562	61.10334481230182
Junb	4	1.569444417695089	-1.1983373230399121	14453457.5	0.22359542028946405	0	0	71.09800362976407	92.04541580006136
