sample_id	age	genotype	new_annotation	entropy
234	6mos	WT	4b_Naïve	3.2188758248682
234	6mos	WT	9_NKT	2.70805020110221
234	6mos	WT	0_Naïve	4.99464231694465
234	6mos	WT	8_Other	1.09861228866811
234	6mos	WT	2_Th1/EM	3.13549421592915
234	6mos	WT	10_Effector Tregs	1.79175946922805
234	6mos	WT	6_Activated CTLs	1.6094379124341
234	6mos	WT	3_Effector Tregs	1.38629436111989
234	6mos	WT	1_Exhausted CTLs	2.19722457733622
234	6mos	WT	12_Cycling	1.6094379124341
234	6mos	WT	11_Cycling Tregs	1.38629436111989
234	6mos	WT	13_Early activated CTLs	1.6094379124341
234	6mos	WT	7_Follicular Tregs	1.38629436111989
234	6mos	WT	5_Tfh	2.07944154167984
234	6mos	WT	4a_Exhausted CTLs	NA
234	6mos	WT	15_IFN-stimulated	1.79175946922805
234	6mos	WT	24_Cycling Tregs	1.38629436111989
234	6mos	WT	17_Cycling	NA
257	6mos	WT	15_IFN-stimulated	1.09861228866811
257	6mos	WT	0_Naïve	4.70048036579242
257	6mos	WT	4b_Naïve	3.09104245335832
257	6mos	WT	4a_Exhausted CTLs	NA
257	6mos	WT	2_Th1/EM	2.70805020110221
257	6mos	WT	1_Exhausted CTLs	2.19722457733622
257	6mos	WT	11_Cycling Tregs	1.6094379124341
257	6mos	WT	9_NKT	2.63905732961526
257	6mos	WT	7_Follicular Tregs	NA
257	6mos	WT	5_Tfh	1.38629436111989
257	6mos	WT	13_Early activated CTLs	1.38629436111989
257	6mos	WT	10_Effector Tregs	1.79175946922805
257	6mos	WT	6_Activated CTLs	NA
257	6mos	WT	3_Effector Tregs	1.94591014905531
257	6mos	WT	8_Other	1.09861228866811
257	6mos	WT	17_Cycling	NA
257	6mos	WT	12_Cycling	NA
257	6mos	WT	24_Cycling Tregs	NA
010	6mos	WT	0_Naïve	4.55387689160054
010	6mos	WT	3_Effector Tregs	1.79175946922805
010	6mos	WT	2_Th1/EM	2.89037175789616
010	6mos	WT	9_NKT	1.94591014905531
010	6mos	WT	4b_Naïve	2.07944154167984
010	6mos	WT	10_Effector Tregs	1.79175946922805
010	6mos	WT	11_Cycling Tregs	1.6094379124341
010	6mos	WT	15_IFN-stimulated	1.94591014905531
010	6mos	WT	13_Early activated CTLs	1.6094379124341
010	6mos	WT	5_Tfh	1.6094379124341
010	6mos	WT	1_Exhausted CTLs	1.09861228866811
010	6mos	WT	7_Follicular Tregs	1.09861228866811
010	6mos	WT	6_Activated CTLs	NA
010	6mos	WT	12_Cycling	NA
010	6mos	WT	17_Cycling	NA
010	6mos	WT	8_Other	NA
010	6mos	WT	24_Cycling Tregs	NA
C	6mos	WT	0_Naïve	4.85981240436167
C	6mos	WT	2_Th1/EM	2.94443897916644
C	6mos	WT	9_NKT	2.19722457733622
C	6mos	WT	15_IFN-stimulated	1.38629436111989
C	6mos	WT	4b_Naïve	2.19722457733622
C	6mos	WT	10_Effector Tregs	1.6094379124341
C	6mos	WT	3_Effector Tregs	1.94591014905531
C	6mos	WT	11_Cycling Tregs	1.6094379124341
C	6mos	WT	5_Tfh	1.6094379124341
C	6mos	WT	12_Cycling	NA
C	6mos	WT	1_Exhausted CTLs	1.09861228866811
C	6mos	WT	6_Activated CTLs	NA
C	6mos	WT	8_Other	NA
C	6mos	WT	13_Early activated CTLs	NA
C	6mos	WT	7_Follicular Tregs	1.6094379124341
D	6mos	WT	10_Effector Tregs	NA
D	6mos	WT	0_Naïve	4.27666611901606
D	6mos	WT	4b_Naïve	2.56494935746154
D	6mos	WT	8_Other	1.09861228866811
D	6mos	WT	3_Effector Tregs	1.79175946922805
D	6mos	WT	15_IFN-stimulated	1.09861228866811
D	6mos	WT	1_Exhausted CTLs	2.82156380786037
D	6mos	WT	2_Th1/EM	2.70805020110221
D	6mos	WT	9_NKT	1.79175946922805
D	6mos	WT	11_Cycling Tregs	NA
D	6mos	WT	13_Early activated CTLs	1.09861228866811
D	6mos	WT	6_Activated CTLs	1.09861228866811
D	6mos	WT	5_Tfh	NA
D	6mos	WT	7_Follicular Tregs	1.38629436111989
