sample_id	age	genotype	new_annotation	entropy
110	6mos	CD70-/-	3_Activated CTLs	NA
110	6mos	CD70-/-	7_CM/EM	2.04319187054512
110	6mos	CD70-/-	9_Non-exhausted effectors	NA
110	6mos	CD70-/-	8_Precursor exhausted CTLs	NA
110	6mos	CD70-/-	13_Early exhausted CTLs	NA
111	6mos	CD70-/-	1_CM/EM	3.06252930025462
111	6mos	CD70-/-	0_Naïve	4.63728259673245
111	6mos	CD70-/-	11_Cycling	NA
111	6mos	CD70-/-	4_Naïve	3.13549421592915
111	6mos	CD70-/-	7_CM/EM	1.6094379124341
111	6mos	CD70-/-	3_Activated CTLs	1.38629436111989
111	6mos	CD70-/-	6_CM/EM	2.39789527279837
111	6mos	CD70-/-	5_Other	1.38629436111989
111	6mos	CD70-/-	8_Precursor exhausted CTLs	1.38629436111989
111	6mos	CD70-/-	9_Non-exhausted effectors	NA
111	6mos	CD70-/-	13_Early exhausted CTLs	NA
111	6mos	CD70-/-	2_Exhausted CTLs	NA
158	6mos	Bcl6tg/+	0_Naïve	4.36469795515988
158	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
158	6mos	Bcl6tg/+	7_CM/EM	1.09861228866811
158	6mos	Bcl6tg/+	4_Naïve	2.56494935746154
158	6mos	Bcl6tg/+	1_CM/EM	2.89037175789616
158	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
158	6mos	Bcl6tg/+	6_CM/EM	2.19722457733622
158	6mos	Bcl6tg/+	5_Other	NA
158	6mos	Bcl6tg/+	3_Activated CTLs	NA
158	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
159	6mos	Bcl6tg/+	0_Naïve	4.74493212836325
159	6mos	Bcl6tg/+	4_Naïve	2.89037175789616
159	6mos	Bcl6tg/+	1_CM/EM	3.43398720448515
159	6mos	Bcl6tg/+	5_Other	NA
159	6mos	Bcl6tg/+	7_CM/EM	1.6094379124341
159	6mos	Bcl6tg/+	6_CM/EM	2.07944154167984
159	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
159	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
159	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
160	6mos	Bcl6tg/+	5_Other	2.30258509299405
160	6mos	Bcl6tg/+	4_Naïve	3.58351893845611
160	6mos	Bcl6tg/+	1_CM/EM	3.09104245335832
160	6mos	Bcl6tg/+	0_Naïve	4.73287739478829
160	6mos	Bcl6tg/+	6_CM/EM	1.79175946922805
160	6mos	Bcl6tg/+	7_CM/EM	1.79175946922805
