new_annotation	richness_median
0_Naïve	29
1_CM/EM	22
2_Exhausted CTLs	11
3_Activated CTLs	9
4_Naïve	10
5_Other	4
6_CM/EM	8
7_CM/EM	5
8_Precursor exhausted CTLs	6
9_Non-exhausted effectors	4
11_Cycling	5
13_Early exhausted CTLs	4
16_Terminally exhausted CTLs	5
