new_annotation	richness_median
0_Naïve	24
1_Exhausted CTLs	11
2_Th1/EM	16
3_Effector Tregs	7
4a_Exhausted CTLs	5
4b_Naïve	8
5_Tfh	9
6_Activated CTLs	6
7_Follicular Tregs	5
8_Other	3
9_NKT	6
10_Effector Tregs	5
11_Cycling Tregs	4
12_Cycling	4
13_Early activated CTLs	5
15_IFN-stimulated	4
17_Cycling	3
24_Cycling Tregs	4
