new_annotation	genotype	entropy_median_per_cluster_per_genotype
0_Naïve	Bcl6tg/+	2.48142231512995
0_Naïve	CD70-/-	3.25809653802148
0_Naïve	CD70-/-;Bcl6tg/+	2.89037175789616
0_Naïve	WT	3.95124371858143
1_Exhausted CTLs	Bcl6tg/+	1.935318313129
1_Exhausted CTLs	CD70-/-	2.07944154167984
1_Exhausted CTLs	CD70-/-;Bcl6tg/+	2.8859917407165
1_Exhausted CTLs	WT	2.19722457733622
2_Th1/EM	Bcl6tg/+	2.484906649788
2_Th1/EM	CD70-/-	2.89037175789616
2_Th1/EM	CD70-/-;Bcl6tg/+	2.50702643555742
2_Th1/EM	WT	2.9174053685313
3_Effector Tregs	Bcl6tg/+	1.71674709070779
3_Effector Tregs	CD70-/-	2.36938211969468
3_Effector Tregs	CD70-/-;Bcl6tg/+	1.79175946922805
3_Effector Tregs	WT	1.94591014905531
4a_Exhausted CTLs	Bcl6tg/+	1.12968700372826
4a_Exhausted CTLs	CD70-/-	1.38629436111989
4a_Exhausted CTLs	CD70-/-;Bcl6tg/+	1.52744277366536
4a_Exhausted CTLs	WT	1.09861228866811
4b_Naïve	Bcl6tg/+	2.56494935746154
4b_Naïve	CD70-/-	2.39789527279837
4b_Naïve	CD70-/-;Bcl6tg/+	1.09861228866811
4b_Naïve	WT	2.19722457733622
5_Tfh	Bcl6tg/+	1.90615474653985
5_Tfh	CD70-/-	2.41384672468888
5_Tfh	CD70-/-;Bcl6tg/+	1.96617551714957
5_Tfh	WT	2.484906649788
6_Activated CTLs	Bcl6tg/+	1.46345453318683
6_Activated CTLs	CD70-/-	1.6094379124341
6_Activated CTLs	CD70-/-;Bcl6tg/+	1.73286795139986
6_Activated CTLs	WT	1.47350238508065
7_Follicular Tregs	Bcl6tg/+	1.09861228866811
7_Follicular Tregs	CD70-/-	2.07944154167984
7_Follicular Tregs	CD70-/-;Bcl6tg/+	1.21539566443912
7_Follicular Tregs	WT	1.6094379124341
8_Other	Bcl6tg/+	1.09861228866811
8_Other	CD70-/-	1.38629436111989
8_Other	CD70-/-;Bcl6tg/+	1.09861228866811
8_Other	WT	1.09861228866811
9_NKT	Bcl6tg/+	1.6094379124341
9_NKT	CD70-/-	1.86883480914168
9_NKT	CD70-/-;Bcl6tg/+	1.6094379124341
9_NKT	WT	2.19722457733622
10_Effector Tregs	Bcl6tg/+	1.497866136777
10_Effector Tregs	CD70-/-	1.86883480914168
10_Effector Tregs	CD70-/-;Bcl6tg/+	1.6094379124341
10_Effector Tregs	WT	1.79175946922805
11_Cycling Tregs	Bcl6tg/+	1.35923670066501
11_Cycling Tregs	CD70-/-	1.6094379124341
11_Cycling Tregs	CD70-/-;Bcl6tg/+	1.38629436111989
11_Cycling Tregs	WT	1.6094379124341
12_Cycling	Bcl6tg/+	1.07354284640852
12_Cycling	CD70-/-	1.38629436111989
12_Cycling	CD70-/-;Bcl6tg/+	1.4402347497046
12_Cycling	WT	1.09861228866811
13_Early activated CTLs	Bcl6tg/+	1.242453324894
13_Early activated CTLs	CD70-/-	1.70059869083108
13_Early activated CTLs	CD70-/-;Bcl6tg/+	1.6094379124341
13_Early activated CTLs	WT	1.38629436111989
15_IFN-stimulated	Bcl6tg/+	1.38629436111989
15_IFN-stimulated	CD70-/-	1.38629436111989
15_IFN-stimulated	CD70-/-;Bcl6tg/+	1.38629436111989
15_IFN-stimulated	WT	1.09861228866811
17_Cycling	Bcl6tg/+	1.09861228866811
17_Cycling	CD70-/-	2.07156736319577
17_Cycling	CD70-/-;Bcl6tg/+	1.09861228866811
17_Cycling	WT	NA
24_Cycling Tregs	Bcl6tg/+	1.01140426470735
24_Cycling Tregs	CD70-/-	1.79175946922805
24_Cycling Tregs	CD70-/-;Bcl6tg/+	1.09861228866811
24_Cycling Tregs	WT	1.38629436111989
