Ms4a1
Cd79b
Itgam
Cd5
Cd1d1
Prdm1
Cd44
Nt5e
Zeb2
Tbx21
Itgax
Cd38
Ebi3
Fcrl5
Il10
Ahnak
S100a6
Vim
Crip1
Mef2b
Mki67
Birc5
H2-Aa
H2-Ab1
H2-Eb1
Cd79b
Cd19
Cr2
Fcer2a
Dut
Efnb1
Havcr1

