CD19
Cd44
Ciita
H2-K1
Ptprc
Ms4a1
Pax5
CD79a
CD79b
Ighd
Igha
Ighm
IghG1
IghG2
IghG3
Igkc
CD93 
Vpreb3
CD24a
Fcer2a 
Spn
Cr2
CXCR4
Sell
CD21
Serpina3f
Serpina3g
IFIT3
Ifi27l2a
Hspa1a
Hspa1b
Nfkbia
Ighv1-53
Igkv 16-104
Igkv11-125
Ighv8-8
Igkv5-48
Ighv1-59
Igkv8-30  
Ighv 1-52
Igkv4-70
Cr2
Dtx1
Cd1d1
CD9
Ly6a
Nt5e
CD80
CD38
Itgb1
Zeb2
Lgals1
Ahnak
Mzb1
Apoe
Plac8
CD27
Grn
AC133103.1
Nfatc1
Marcks
Fcrl5
S100a6
Itgb7
Myc
Nhp2
Srm
Apex1
Jchain
SDC1
Mef2b
Birc5
Mki67
Dut
Mif
Pclaf
Xbp1
Mif
H2-Aa
H2-Ab1
H2-Eb1
B2m
Prdm1
Xbp1
CD70
IRF4
CD83
CD86
Il10
Tbx21
Nfatc1
Ebi3 
CD5
ITGAX
ITGAM
S1pr3
Fcgr2b
Bhlhe41
Sox5
Ccr1
Asb2
Fas
Zbtb32
Rgs13
S1pr2

