new_annotation	genotype	entropy_median_per_cluster_per_genotype
24_Follicular	CD70-/-;Bcl6tg/+	1.38629436111989
24_Follicular	WT	2.35024018289621
25_Ig-restricted	Bcl6tg/+	1.84443972705697
25_Ig-restricted	CD70-/-	1.86883480914168
25_Ig-restricted	CD70-/-;Bcl6tg/+	1.06916652975401
25_Ig-restricted	WT	1.86883480914168
27_Light Zone	Bcl6tg/+	1.79175946922805
27_Light Zone	CD70-/-	1.86883480914168
27_Light Zone	CD70-/-;Bcl6tg/+	1.09861228866811
27_Light Zone	WT	1.94591014905531
