sample_id	age	genotype	new_annotation	clonality_trust4
234	6mos	WT	4b_Naïve	1.11022302462516e-16
234	6mos	WT	9_NKT	0
234	6mos	WT	0_Naïve	0.000514278097200949
234	6mos	WT	8_Other	2.22044604925031e-16
234	6mos	WT	2_Th1/EM	0
234	6mos	WT	10_Effector Tregs	0
234	6mos	WT	6_Activated CTLs	-2.22044604925031e-16
234	6mos	WT	3_Effector Tregs	0
234	6mos	WT	1_Exhausted CTLs	0
234	6mos	WT	12_Cycling	-2.22044604925031e-16
234	6mos	WT	11_Cycling Tregs	0
234	6mos	WT	13_Early activated CTLs	-2.22044604925031e-16
234	6mos	WT	7_Follicular Tregs	0
234	6mos	WT	5_Tfh	0
234	6mos	WT	4a_Exhausted CTLs	NA
234	6mos	WT	15_IFN-stimulated	0
234	6mos	WT	24_Cycling Tregs	0
234	6mos	WT	17_Cycling	NA
257	6mos	WT	15_IFN-stimulated	2.22044604925031e-16
257	6mos	WT	0_Naïve	0
257	6mos	WT	4b_Naïve	0
257	6mos	WT	4a_Exhausted CTLs	NA
257	6mos	WT	2_Th1/EM	0
257	6mos	WT	1_Exhausted CTLs	0
257	6mos	WT	11_Cycling Tregs	-2.22044604925031e-16
257	6mos	WT	9_NKT	0
257	6mos	WT	7_Follicular Tregs	NA
257	6mos	WT	5_Tfh	0
257	6mos	WT	13_Early activated CTLs	0
257	6mos	WT	10_Effector Tregs	0
257	6mos	WT	6_Activated CTLs	NA
257	6mos	WT	3_Effector Tregs	0
257	6mos	WT	8_Other	2.22044604925031e-16
257	6mos	WT	17_Cycling	NA
257	6mos	WT	12_Cycling	NA
257	6mos	WT	24_Cycling Tregs	NA
010	6mos	WT	0_Naïve	0
010	6mos	WT	3_Effector Tregs	0
010	6mos	WT	2_Th1/EM	0
010	6mos	WT	9_NKT	0
010	6mos	WT	4b_Naïve	0
010	6mos	WT	10_Effector Tregs	0
010	6mos	WT	11_Cycling Tregs	-2.22044604925031e-16
010	6mos	WT	15_IFN-stimulated	0
